Variable_Name,Coeff,Optimal Value
Iced_Tea_in_Lisbon_from_Portugal,0.8,10000.0
Iced_Tea_in_Lisbon_from_Spain,0.6000000000000001,0.0
Iced_Tea_in_Lisbon_from_France,0.35,0.0
Iced_Tea_in_Madrid_from_Portugal,0.6499999999999999,0.0
Iced_Tea_in_Madrid_from_Spain,0.65,0.0
Iced_Tea_in_Madrid_from_France,0.3499999999999999,0.0
Iced_Tea_in_Barcelona_from_Portugal,0.7000000000000001,0.0
Iced_Tea_in_Barcelona_from_Spain,0.7000000000000001,9000.0
Iced_Tea_in_Barcelona_from_France,0.5,0.0
Iced_Tea_in_Paris_from_Portugal,0.7000000000000001,2000.0
Iced_Tea_in_Paris_from_Spain,0.65,0.0
Iced_Tea_in_Paris_from_France,0.7999999999999999,13000.0
Iced_Tea_in_Marseille_from_Portugal,0.5999999999999999,0.0
Iced_Tea_in_Marseille_from_Spain,0.6499999999999999,0.0
Iced_Tea_in_Marseille_from_France,0.7699999999999999,5000.0
Iced_Tea_in_Porto_from_Portugal,0.7499999999999999,8000.0
Iced_Tea_in_Porto_from_Spain,0.44999999999999996,0.0
Iced_Tea_in_Porto_from_France,0.19999999999999984,0.0
Sparkling_Water_in_Lisbon_from_Portugal,0.5,8000.0
Sparkling_Water_in_Lisbon_from_Spain,0.3499999999999999,0.0
Sparkling_Water_in_Lisbon_from_France,0.15000000000000002,0.0
Sparkling_Water_in_Madrid_from_Portugal,0.45,0.0
Sparkling_Water_in_Madrid_from_Spain,0.5,9000.0
Sparkling_Water_in_Madrid_from_France,0.25000000000000006,0.0
Sparkling_Water_in_Barcelona_from_Portugal,0.45000000000000007,0.0
Sparkling_Water_in_Barcelona_from_Spain,0.5,7000.0
Sparkling_Water_in_Barcelona_from_France,0.3500000000000001,0.0
Sparkling_Water_in_Paris_from_Portugal,0.3999999999999999,0.0
Sparkling_Water_in_Paris_from_Spain,0.3999999999999999,0.0
Sparkling_Water_in_Paris_from_France,0.6,10000.0
Sparkling_Water_in_Marseille_from_Portugal,0.3000000000000001,0.0
Sparkling_Water_in_Marseille_from_Spain,0.4000000000000001,0.0
Sparkling_Water_in_Marseille_from_France,0.5700000000000002,5000.0
Sparkling_Water_in_Porto_from_Portugal,0.49999999999999994,6000.0
Sparkling_Water_in_Porto_from_Spain,0.2499999999999999,0.0
Sparkling_Water_in_Porto_from_France,0.04999999999999993,0.0
Natural_Juice_in_Lisbon_from_Portugal,0.8000000000000002,5000.0
Natural_Juice_in_Lisbon_from_Spain,0.7500000000000002,0.0
Natural_Juice_in_Lisbon_from_France,0.45000000000000007,0.0
Natural_Juice_in_Madrid_from_Portugal,0.6000000000000001,0.0
Natural_Juice_in_Madrid_from_Spain,0.7500000000000001,5891.3043
Natural_Juice_in_Madrid_from_France,0.39999999999999997,0.0
Natural_Juice_in_Barcelona_from_Portugal,0.5999999999999999,0.0
Natural_Juice_in_Barcelona_from_Spain,0.7499999999999999,4500.0
Natural_Juice_in_Barcelona_from_France,0.4999999999999998,0.0
Natural_Juice_in_Paris_from_Portugal,0.6000000000000002,0.0
Natural_Juice_in_Paris_from_Spain,0.7000000000000003,0.0
Natural_Juice_in_Paris_from_France,0.8000000000000002,0.0
Natural_Juice_in_Marseille_from_Portugal,0.49999999999999994,0.0
Natural_Juice_in_Marseille_from_Spain,0.7,0.0
Natural_Juice_in_Marseille_from_France,0.7699999999999999,0.0
Natural_Juice_in_Porto_from_Portugal,0.75,0.0
Natural_Juice_in_Porto_from_Spain,0.6000000000000001,0.0
Natural_Juice_in_Porto_from_France,0.29999999999999993,0.0
Flavored_Mineral_Water_in_Lisbon_from_Portugal,0.7999999999999999,4000.0
Flavored_Mineral_Water_in_Lisbon_from_Spain,0.75,0.0
Flavored_Mineral_Water_in_Lisbon_from_France,0.45000000000000007,0.0
Flavored_Mineral_Water_in_Madrid_from_Portugal,0.6499999999999999,0.0
Flavored_Mineral_Water_in_Madrid_from_Spain,0.7999999999999999,5000.0
Flavored_Mineral_Water_in_Madrid_from_France,0.45,0.0
Flavored_Mineral_Water_in_Barcelona_from_Portugal,0.6299999999999999,0.0
Flavored_Mineral_Water_in_Barcelona_from_Spain,0.7799999999999999,4000.0
Flavored_Mineral_Water_in_Barcelona_from_France,0.53,0.0
Flavored_Mineral_Water_in_Paris_from_Portugal,0.6,0.0
Flavored_Mineral_Water_in_Paris_from_Spain,0.7000000000000001,0.0
Flavored_Mineral_Water_in_Paris_from_France,0.8000000000000002,6000.0
Flavored_Mineral_Water_in_Marseille_from_Portugal,0.4999999999999997,0.0
Flavored_Mineral_Water_in_Marseille_from_Spain,0.6999999999999997,1000.0
Flavored_Mineral_Water_in_Marseille_from_France,0.7699999999999999,0.0
Flavored_Mineral_Water_in_Porto_from_Portugal,0.7499999999999998,3500.0
Flavored_Mineral_Water_in_Porto_from_Spain,0.5999999999999999,0.0
Flavored_Mineral_Water_in_Porto_from_France,0.29999999999999993,0.0
